id,name,group,suggested_departments,suggested_sections,Job Purpose,Job Responsibility,Authority,Accountability,Daily Duties,Weekly Duties,Monthly Duties,Quarterly Duties,Half-Yearly Duties,Annual Duties,Required Competency,Required Training,Applicable ISO Requirements,Applicable SOP/WI,Designation Checklist,KPI,Target,Evidence/Record,Performance Evaluation,Supervisor/Reporting Line
34,HR Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
35,Junior HR Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
36,HR Executive,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
37,Senior HR Executive,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
38,Personnel Manager,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
39,Personnel Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
40,Personnel Executive,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
41,Recruitment Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
42,Recruitment Executive,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
43,Manpower Planning Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
44,Employee Relations Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
45,Welfare Manager,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
46,Welfare Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
47,Senior Welfare Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
48,Welfare Assistant,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
49,Grievance Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
50,Compliance Manager,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
51,Senior Compliance Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
52,Compliance Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
53,Compliance Executive,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
54,Labour Law Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
55,Legal Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
56,Childcare Supervisor,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
57,Childcare Assistant,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
58,Admin Manager,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
59,Admin Officer,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
60,Admin Executive,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
61,Receptionist,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
62,Telephone Operator,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
63,Messenger,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
64,Peon,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
65,Office Assistant,HR / Admin / Welfare / Compliance,HRM – Full Human Resource Management; Welfare Management; Compliance Management; Administration Management,Recruitment; Personnel; Employee Relations; Welfare; Grievance; Administration; Compliance; Labour Law,,,,,,,,,,,,,,,,,,,,
66,Training Manager,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
67,Training Coordinator,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
68,Training Officer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
69,Training Executive,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
70,Senior Trainer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
71,Trainer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
72,Technical Trainer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
73,Sewing Trainer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
74,Quality Trainer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
75,Safety Trainer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
76,Compliance Trainer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
77,Competency Assessor,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
78,Performance Management Officer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
79,KPI Officer,Training & Performance,Training & Competency Management; KPI & Performance Management – All Employees,Training & Competency; Performance Management,,,,,,,,,,,,,,,,,,,,
80,Marketing Director,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
81,Marketing Manager,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
82,Senior Marketing Manager,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
83,Marketing Officer,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
84,Marketing Executive,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
85,Business Development Manager,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
86,Business Development Officer,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
87,Buyer Coordinator,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
88,Trading House Coordinator,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
89,Buyer Communication Officer,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
90,Merchandising Manager,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
91,Senior Merchandiser,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
92,Merchandiser,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
93,Junior Merchandiser,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
94,Trainee Merchandiser,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
95,Assistant Merchandiser,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
96,Production Merchandiser,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
97,Sample Merchandiser,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
98,Merchandising Coordinator,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
99,Costing Officer,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
100,Costing Executive,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
101,Order Coordinator,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
102,T&A Coordinator,Marketing & Merchandising,Buyer & Trading House Management; Marketing & Merchandising,Marketing; Buyer & Trading House; Merchandising; Costing; Order Management; T&A Management,,,,,,,,,,,,,,,,,,,,
103,Planning Manager,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
104,Senior Planning Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
105,Planning Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
106,Junior Planning Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
107,Planning Executive,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
108,Production Planner,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
109,PPC Manager,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
110,PPC Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
111,PPC Executive,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
112,Capacity Planner,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
113,Capacity Planning Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
114,Line Loading Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
115,Re-plan Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
116,IE Manager,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
117,Senior IE Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
118,IE Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
119,Junior IE Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
120,IE Executive,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
121,Industrial Engineer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
122,Senior Industrial Engineer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
123,Method Engineer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
124,Work Study Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
125,Line Balancing Engineer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
126,Productivity Officer,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
127,SMV Analyst,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
128,Efficiency Analyst,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
129,Performance Analyst,Planning & IE,Planning Management; IE Management,Planning; Capacity Planning; Production Planning; Line Loading; IE; SMV; Work Study; Line Balancing; Productivity,,,,,,,,,,,,,,,,,,,,
130,Product Development Manager,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
131,Product Development Officer,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
132,Product Engineer,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
133,Fashion Designer,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
134,Design Coordinator,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
135,Tech Pack Coordinator,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
136,CAD Manager,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
137,CAD Supervisor,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
138,CAD Operator,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
139,Senior CAD Operator,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
140,Junior CAD Operator,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
141,Pattern Master,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
142,Pattern Maker,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
143,Senior Pattern Maker,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
144,Assistant Pattern Maker,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
145,Grading Operator,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
146,Marker Planner,CAD / Product / Sample,Fabric Management,CAD; Pattern; Grading; Marker; Sample; Sample Approval; Product Development; Tech Pack; Design,,,,,,,,,,,,,,,,,,,,
