level,id,name,group_or_parent,suggested_iso_area,Daily Checklist,Weekly Checklist,Monthly Checklist,Quarterly Checklist,Half-Yearly Evaluation,Annual Evaluation
Department,44,System Administration,,,,,,,,
Department,45,Settings,,,,,,,,
Department,46,Corporate & Strategic Management,,,,,,,,
Department,47,Business Excellence & Strategic Planning,,,,,,,,
Department,48,Marketing & Business Development,,,,,,,,
Department,49,Marketing & Merchandising,,,,,,,,
Department,50,Human Resources Management,,,,,,,,
Department,51,Administration Management,,,,,,,,
Department,52,Welfare & Employee Relations,,,,,,,,
Department,53,Medical & Occupational Health,,,,,,,,
Department,54,Compliance & Legal,,,,,,,,
Department,55,Integrated Management System (IMS),,,,,,,,
Department,56,Internal Audit,,,,,,,,
Department,57,Risk Management,,,,,,,,
Department,58,HSE & Occupational Safety,,,,,,,,
Department,59,Fire & Life Safety,,,,,,,,
Department,60,Environmental Management,,,,,,,,
Department,61,Waste & Sustainability Management,,,,,,,,
Department,62,Chemical Management,,,,,,,,
Department,63,Energy & Utility Management,,,,,,,,
Department,64,Product Development & Design,,,,,,,,
Department,65,CAD & Pattern,,,,,,,,
Department,66,Procurement & Sourcing,,,,,,,,
Department,67,Supplier Quality & Development,,,,,,,,
Department,68,Fabric & Raw Material Management,,,,,,,,
Department,69,Accessories & Packaging,,,,,,,,
Department,70,Planning / PPC,,,,,,,,
Department,71,Industrial Engineering (IE),,,,,,,,
Department,72,Cutting,,,,,,,,
Department,73,Sewing / Production,,,,,,,,
Department,74,Finishing & Packing,,,,,,,,
Department,75,Quality Assurance,,,,,,,,
Department,76,Quality Control,,,,,,,,
Department,77,Laboratory / Testing / Calibration,,,,,,,,
Department,78,Product Safety & Traceability,,,,,,,,
Department,79,Engineering & Maintenance,,,,,,,,
Department,80,Electrical & Utility Engineering,,,,,,,,
Department,81,Inventory & Warehouse Management,,,,,,,,
Department,82,Logistics & Supply Chain,,,,,,,,
Department,83,Accounts & Finance,,,,,,,,
Department,84,Commercial / Export-Import,,,,,,,,
Department,85,IT & Cybersecurity,,,,,,,,
Department,86,Security & Access Control,,,,,,,,
Department,87,Business Continuity & Crisis Management,,,,,,,,
Department,88,MIS / BI / Analytics,,,,,,,,
Department,89,Task / Workflow / Notification,,,,,,,,
Department,90,Master Data & Document Control,,,,,,,,
Department,91,Settings,,,,,,,,
Section,1,Accounts & Finance,,,,,,,,
Section,2,"Admin, HR & Compliance",,,,,,,,
Section,3,Audit,,,,,,,,
Section,4,CAD,,,,,,,,
Section,5,Commercial,,,,,,,,
Section,6,Cutting,,,,,,,,
Section,7,Cutting Quality,,,,,,,,
Section,8,Electrical,,,,,,,,
Section,9,Fabric,,,,,,,,
Section,10,Finishing,,,,,,,,
Section,11,Finishing Quality,,,,,,,,
Section,12,IE,,,,,,,,
Section,13,Marketing & Merchandising,,,,,,,,
Section,14,Mechanical,,,,,,,,
Section,15,Planning,,,,,,,,
Section,16,Procurement,,,,,,,,
Section,17,Production,,,,,,,,
Section,18,QA Audit,,,,,,,,
Section,19,Quality,,,,,,,,
Section,20,Quality Receive,,,,,,,,
Section,21,Receive,,,,,,,,
Section,22,Sample,,,,,,,,
Section,23,Security,,,,,,,,
Section,24,Sewing,,,,,,,,
Section,25,Sewing Quality,,,,,,,,
Section,26,Size Set,,,,,,,,
Section,27,Stock Lot,,,,,,,,
Section,28,Store Quality,,,,,,,,
Section,29,Store,,,,,,,,
Section,30,Others,,,,,,,,
Section,31,System,,,,,,,,
Section,32,Corporate Governance,,,,,,,,
Section,33,Management Review,,,,,,,,
Section,34,Management Communication,,,,,,,,
Section,35,Live Audio Conference,,,,,,,,
Section,36,Live Video Conference,,,,,,,,
Section,37,Business Strategy,,,,,,,,
Section,38,Business Excellence,,,,,,,,
Section,39,Business Development,,,,,,,,
Section,40,Marketing,,,,,,,,
Section,41,Buyer & Trading House,,,,,,,,
Section,42,Buyer Communication,,,,,,,,
Section,43,Merchandising,,,,,,,,
Section,44,Costing,,,,,,,,
Section,45,Order Management,,,,,,,,
Section,46,T&A Management,,,,,,,,
Section,47,Customer Satisfaction,,,,,,,,
Section,48,Recruitment,,,,,,,,
Section,49,Personnel,,,,,,,,
Section,50,Manpower Planning,,,,,,,,
Section,51,Employee Relations,,,,,,,,
Section,52,Attendance,,,,,,,,
Section,53,Leave Management,,,,,,,,
Section,54,Payroll,,,,,,,,
Section,55,Training & Competency,,,,,,,,
Section,56,Performance Management,,,,,,,,
Section,57,Welfare,,,,,,,,
Section,58,Grievance,,,,,,,,
Section,59,Childcare,,,,,,,,
Section,60,Medical Center,,,,,,,,
Section,61,First Aid,,,,,,,,
Section,62,Occupational Health,,,,,,,,
Section,63,Administration,,,,,,,,
Section,64,Facilities,,,,,,,,
Section,65,Transport,,,,,,,,
Section,66,Housekeeping,,,,,,,,
Section,67,Compliance,,,,,,,,
Section,68,Labour Law,,,,,,,,
Section,69,Legal & Regulatory,,,,,,,,
Section,70,Social Compliance,,,,,,,,
Section,71,Buyer Compliance,,,,,,,,
Section,72,IMS / ISO Control,,,,,,,,
Section,73,Document Control,,,,,,,,
Section,74,Record Control,,,,,,,,
Section,75,Internal Audit,,,,,,,,
Section,76,External Audit,,,,,,,,
Section,77,Buyer Audit,,,,,,,,
Section,78,Risk Assessment,,,,,,,,
Section,79,Risk Register,,,,,,,,
Section,80,CAPA,,,,,,,,
Section,81,Continual Improvement,,,,,,,,
Section,82,HSE,,,,,,,,
Section,83,Safety Inspection,,,,,,,,
Section,84,PPE Management,,,,,,,,
Section,85,Fire Safety,,,,,,,,
Section,86,Emergency Response,,,,,,,,
Section,87,Fire Drill,,,,,,,,
Section,88,Environmental Aspect/Impact,,,,,,,,
Section,89,Environmental Monitoring,,,,,,,,
Section,90,ETP/STP,,,,,,,,
Section,91,Water Management,,,,,,,,
Section,92,Air/Emission Monitoring,,,,,,,,
Section,93,Waste Segregation,,,,,,,,
Section,94,Recycling,,,,,,,,
Section,95,Waste Disposal,,,,,,,,
Section,96,Sustainability / ESG,,,,,,,,
Section,97,Chemical Inventory,,,,,,,,
Section,98,SDS Management,,,,,,,,
Section,99,Chemical Storage,,,,,,,,
Section,100,Chemical Handling,,,,,,,,
Section,101,Spill Response,,,,,,,,
Section,102,Energy Monitoring,,,,,,,,
Section,103,Utility Monitoring,,,,,,,,
Section,104,Energy Efficiency,,,,,,,,
Section,105,Product Development,,,,,,,,
Section,106,Tech Pack,,,,,,,,
Section,107,Design,,,,,,,,
Section,108,CAD,,,,,,,,
Section,109,Pattern,,,,,,,,
Section,110,Grading,,,,,,,,
Section,111,Marker,,,,,,,,
Section,112,Sample,,,,,,,,
Section,113,Sample Approval,,,,,,,,
Section,114,Procurement,,,,,,,,
Section,115,RFQ,,,,,,,,
Section,116,Sourcing,,,,,,,,
Section,117,Supplier Selection,,,,,,,,
Section,118,Supplier Approval,,,,,,,,
Section,119,Supplier Evaluation,,,,,,,,
Section,120,Supplier Audit,,,,,,,,
Section,121,Supplier Development,,,,,,,,
Section,122,Fabric Procurement,,,,,,,,
Section,123,Fabric Store,,,,,,,,
Section,124,Yarn,,,,,,,,
Section,125,Knitting,,,,,,,,
Section,126,Dyeing,,,,,,,,
Section,127,Fabric Inspection,,,,,,,,
Section,128,Accessories Procurement,,,,,,,,
Section,129,Packaging Materials,,,,,,,,
Section,130,General Purchase,,,,,,,,
Section,131,Planning,,,,,,,,
Section,132,Capacity Planning,,,,,,,,
Section,133,Production Planning,,,,,,,,
Section,134,Line Loading,,,,,,,,
Section,135,Re-plan Management,,,,,,,,
Section,136,IE,,,,,,,,
Section,137,SMV,,,,,,,,
Section,138,Work Study,,,,,,,,
Section,139,Line Balancing,,,,,,,,
Section,140,Productivity,,,,,,,,
Section,141,Cutting,,,,,,,,
Section,142,Fabric Relaxation,,,,,,,,
Section,143,Spreading,,,,,,,,
Section,144,Cutting Quality,,,,,,,,
Section,145,Numbering,,,,,,,,
Section,146,Bundling,,,,,,,,
Section,147,Sewing Input,,,,,,,,
Section,148,Sewing Production,,,,,,,,
Section,149,Hourly Production,,,,,,,,
Section,150,WIP Control,,,,,,,,
Section,151,Sewing Quality,,,,,,,,
Section,152,Finishing,,,,,,,,
Section,153,Ironing,,,,,,,,
Section,154,Folding,,,,,,,,
Section,155,Spot Removal,,,,,,,,
Section,156,Settings,,,,,,,,
Designation,1,Managing Director,Executive & Corporate,,,,,,,
Designation,2,Director,Executive & Corporate,,,,,,,
Designation,3,Executive Director,Executive & Corporate,,,,,,,
Designation,4,Chief Executive Officer,Executive & Corporate,,,,,,,
Designation,5,Chief Operating Officer,Executive & Corporate,,,,,,,
Designation,6,Chief Financial Officer,Executive & Corporate,,,,,,,
Designation,7,Chief Human Resources Officer,Executive & Corporate,,,,,,,
Designation,8,Chief Compliance Officer,Executive & Corporate,,,,,,,
Designation,9,General Manager,Executive & Corporate,,,,,,,
Designation,10,Senior General Manager,Executive & Corporate,,,,,,,
Designation,11,Deputy General Manager,Executive & Corporate,,,,,,,
Designation,12,Assistant General Manager,Executive & Corporate,,,,,,,
Designation,13,Factory Manager,Executive & Corporate,,,,,,,
Designation,14,Deputy Factory Manager,Executive & Corporate,,,,,,,
Designation,15,Assistant Factory Manager,Executive & Corporate,,,,,,,
Designation,16,Manager,Management & Officers,,,,,,,
Designation,17,Senior Manager,Management & Officers,,,,,,,
Designation,18,Assistant Manager,Management & Officers,,,,,,,
Designation,19,Deputy Manager,Management & Officers,,,,,,,
Designation,20,Senior Officer,Management & Officers,,,,,,,
Designation,21,Officer,Management & Officers,,,,,,,
Designation,22,Junior Officer,Management & Officers,,,,,,,
Designation,23,Senior Executive,Management & Officers,,,,,,,
Designation,24,Executive,Management & Officers,,,,,,,
Designation,25,Junior Executive,Management & Officers,,,,,,,
Designation,26,Coordinator,Management & Officers,,,,,,,
Designation,27,Senior Coordinator,Management & Officers,,,,,,,
Designation,28,Supervisor,Management & Officers,,,,,,,
Designation,29,Senior Supervisor,Management & Officers,,,,,,,
Designation,30,Assistant Supervisor,Management & Officers,,,,,,,
Designation,31,HR Head,HR / Admin / Welfare / Compliance,,,,,,,
Designation,32,HR Manager,HR / Admin / Welfare / Compliance,,,,,,,
Designation,33,Senior HR Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,34,HR Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,35,Junior HR Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,36,HR Executive,HR / Admin / Welfare / Compliance,,,,,,,
Designation,37,Senior HR Executive,HR / Admin / Welfare / Compliance,,,,,,,
Designation,38,Personnel Manager,HR / Admin / Welfare / Compliance,,,,,,,
Designation,39,Personnel Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,40,Personnel Executive,HR / Admin / Welfare / Compliance,,,,,,,
Designation,41,Recruitment Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,42,Recruitment Executive,HR / Admin / Welfare / Compliance,,,,,,,
Designation,43,Manpower Planning Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,44,Employee Relations Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,45,Welfare Manager,HR / Admin / Welfare / Compliance,,,,,,,
Designation,46,Welfare Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,47,Senior Welfare Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,48,Welfare Assistant,HR / Admin / Welfare / Compliance,,,,,,,
Designation,49,Grievance Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,50,Compliance Manager,HR / Admin / Welfare / Compliance,,,,,,,
Designation,51,Senior Compliance Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,52,Compliance Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,53,Compliance Executive,HR / Admin / Welfare / Compliance,,,,,,,
Designation,54,Labour Law Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,55,Legal Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,56,Childcare Supervisor,HR / Admin / Welfare / Compliance,,,,,,,
Designation,57,Childcare Assistant,HR / Admin / Welfare / Compliance,,,,,,,
Designation,58,Admin Manager,HR / Admin / Welfare / Compliance,,,,,,,
Designation,59,Admin Officer,HR / Admin / Welfare / Compliance,,,,,,,
Designation,60,Admin Executive,HR / Admin / Welfare / Compliance,,,,,,,
Designation,61,Receptionist,HR / Admin / Welfare / Compliance,,,,,,,
Designation,62,Telephone Operator,HR / Admin / Welfare / Compliance,,,,,,,
Designation,63,Messenger,HR / Admin / Welfare / Compliance,,,,,,,
Designation,64,Peon,HR / Admin / Welfare / Compliance,,,,,,,
Designation,65,Office Assistant,HR / Admin / Welfare / Compliance,,,,,,,
Designation,66,Training Manager,Training & Performance,,,,,,,
Designation,67,Training Coordinator,Training & Performance,,,,,,,
Designation,68,Training Officer,Training & Performance,,,,,,,
Designation,69,Training Executive,Training & Performance,,,,,,,
Designation,70,Senior Trainer,Training & Performance,,,,,,,
Designation,71,Trainer,Training & Performance,,,,,,,
Designation,72,Technical Trainer,Training & Performance,,,,,,,
Designation,73,Sewing Trainer,Training & Performance,,,,,,,
Designation,74,Quality Trainer,Training & Performance,,,,,,,
Designation,75,Safety Trainer,Training & Performance,,,,,,,
Designation,76,Compliance Trainer,Training & Performance,,,,,,,
Designation,77,Competency Assessor,Training & Performance,,,,,,,
Designation,78,Performance Management Officer,Training & Performance,,,,,,,
Designation,79,KPI Officer,Training & Performance,,,,,,,
Designation,80,Marketing Director,Marketing & Merchandising,,,,,,,
Designation,81,Marketing Manager,Marketing & Merchandising,,,,,,,
Designation,82,Senior Marketing Manager,Marketing & Merchandising,,,,,,,
Designation,83,Marketing Officer,Marketing & Merchandising,,,,,,,
Designation,84,Marketing Executive,Marketing & Merchandising,,,,,,,
Designation,85,Business Development Manager,Marketing & Merchandising,,,,,,,
Designation,86,Business Development Officer,Marketing & Merchandising,,,,,,,
Designation,87,Buyer Coordinator,Marketing & Merchandising,,,,,,,
Designation,88,Trading House Coordinator,Marketing & Merchandising,,,,,,,
Designation,89,Buyer Communication Officer,Marketing & Merchandising,,,,,,,
Designation,90,Merchandising Manager,Marketing & Merchandising,,,,,,,
Designation,91,Senior Merchandiser,Marketing & Merchandising,,,,,,,
Designation,92,Merchandiser,Marketing & Merchandising,,,,,,,
Designation,93,Junior Merchandiser,Marketing & Merchandising,,,,,,,
Designation,94,Trainee Merchandiser,Marketing & Merchandising,,,,,,,
Designation,95,Assistant Merchandiser,Marketing & Merchandising,,,,,,,
Designation,96,Production Merchandiser,Marketing & Merchandising,,,,,,,
Designation,97,Sample Merchandiser,Marketing & Merchandising,,,,,,,
Designation,98,Merchandising Coordinator,Marketing & Merchandising,,,,,,,
Designation,99,Costing Officer,Marketing & Merchandising,,,,,,,
Designation,100,Costing Executive,Marketing & Merchandising,,,,,,,
Designation,101,Order Coordinator,Marketing & Merchandising,,,,,,,
Designation,102,T&A Coordinator,Marketing & Merchandising,,,,,,,
Designation,103,Planning Manager,Planning & IE,,,,,,,
Designation,104,Senior Planning Officer,Planning & IE,,,,,,,
Designation,105,Planning Officer,Planning & IE,,,,,,,
Designation,106,Junior Planning Officer,Planning & IE,,,,,,,
Designation,107,Planning Executive,Planning & IE,,,,,,,
Designation,108,Production Planner,Planning & IE,,,,,,,
Designation,109,PPC Manager,Planning & IE,,,,,,,
Designation,110,PPC Officer,Planning & IE,,,,,,,
Designation,111,PPC Executive,Planning & IE,,,,,,,
Designation,112,Capacity Planner,Planning & IE,,,,,,,
Designation,113,Capacity Planning Officer,Planning & IE,,,,,,,
Designation,114,Line Loading Officer,Planning & IE,,,,,,,
Designation,115,Re-plan Officer,Planning & IE,,,,,,,
Designation,116,IE Manager,Planning & IE,,,,,,,
Designation,117,Senior IE Officer,Planning & IE,,,,,,,
Designation,118,IE Officer,Planning & IE,,,,,,,
Designation,119,Junior IE Officer,Planning & IE,,,,,,,
Designation,120,IE Executive,Planning & IE,,,,,,,
Designation,121,Industrial Engineer,Planning & IE,,,,,,,
Designation,122,Senior Industrial Engineer,Planning & IE,,,,,,,
Designation,123,Method Engineer,Planning & IE,,,,,,,
Designation,124,Work Study Officer,Planning & IE,,,,,,,
Designation,125,Line Balancing Engineer,Planning & IE,,,,,,,
Designation,126,Productivity Officer,Planning & IE,,,,,,,
Designation,127,SMV Analyst,Planning & IE,,,,,,,
Designation,128,Efficiency Analyst,Planning & IE,,,,,,,
Designation,129,Performance Analyst,Planning & IE,,,,,,,
Designation,130,Product Development Manager,CAD / Product / Sample,,,,,,,
Designation,131,Product Development Officer,CAD / Product / Sample,,,,,,,
Designation,132,Product Engineer,CAD / Product / Sample,,,,,,,
Designation,133,Fashion Designer,CAD / Product / Sample,,,,,,,
Designation,134,Design Coordinator,CAD / Product / Sample,,,,,,,
Designation,135,Tech Pack Coordinator,CAD / Product / Sample,,,,,,,
Designation,136,CAD Manager,CAD / Product / Sample,,,,,,,
Designation,137,CAD Supervisor,CAD / Product / Sample,,,,,,,
Designation,138,CAD Operator,CAD / Product / Sample,,,,,,,
Designation,139,Senior CAD Operator,CAD / Product / Sample,,,,,,,
Designation,140,Junior CAD Operator,CAD / Product / Sample,,,,,,,
Designation,141,Pattern Master,CAD / Product / Sample,,,,,,,
Designation,142,Pattern Maker,CAD / Product / Sample,,,,,,,
Designation,143,Senior Pattern Maker,CAD / Product / Sample,,,,,,,
Designation,144,Assistant Pattern Maker,CAD / Product / Sample,,,,,,,
Designation,145,Grading Operator,CAD / Product / Sample,,,,,,,
Designation,146,Marker Planner,CAD / Product / Sample,,,,,,,
Designation,147,Marker Man,CAD / Product / Sample,,,,,,,
Designation,148,Sample Manager,CAD / Product / Sample,,,,,,,
Designation,149,Sample In-charge,CAD / Product / Sample,,,,,,,
Designation,150,Sample Supervisor,CAD / Product / Sample,,,,,,,
Designation,151,Senior Sample Man,CAD / Product / Sample,,,,,,,
Designation,152,Sample Man,CAD / Product / Sample,,,,,,,
Designation,153,Junior Sample Man,CAD / Product / Sample,,,,,,,
Designation,154,Procurement Director,Procurement & Supplier,,,,,,,
Designation,155,Procurement Manager,Procurement & Supplier,,,,,,,
Designation,156,Senior Procurement Officer,Procurement & Supplier,,,,,,,
Designation,157,Procurement Officer,Procurement & Supplier,,,,,,,
Designation,158,Junior Procurement Officer,Procurement & Supplier,,,,,,,
Designation,159,Procurement Executive,Procurement & Supplier,,,,,,,
Designation,160,Purchase Manager,Procurement & Supplier,,,,,,,
Designation,161,Purchase Officer,Procurement & Supplier,,,,,,,
Designation,162,Purchase Executive,Procurement & Supplier,,,,,,,
Designation,163,Sourcing Manager,Procurement & Supplier,,,,,,,
Designation,164,Sourcing Officer,Procurement & Supplier,,,,,,,
Designation,165,Supplier Development Manager,Procurement & Supplier,,,,,,,
Designation,166,Supplier Development Officer,Procurement & Supplier,,,,,,,
Designation,167,Supplier Quality Manager,Procurement & Supplier,,,,,,,
Designation,168,Supplier Quality Officer,Procurement & Supplier,,,,,,,
Designation,169,Supplier Auditor,Procurement & Supplier,,,,,,,
Designation,170,Supplier Evaluation Officer,Procurement & Supplier,,,,,,,
Designation,171,Fabric Procurement Officer,Procurement & Supplier,,,,,,,
Designation,172,Accessories Procurement Officer,Procurement & Supplier,,,,,,,
Designation,173,General Purchase Officer,Procurement & Supplier,,,,,,,
Designation,174,Fabric Manager,Fabric / Knitting / Dyeing,,,,,,,
Designation,175,Fabric In-charge,Fabric / Knitting / Dyeing,,,,,,,
Designation,176,Fabric Officer,Fabric / Knitting / Dyeing,,,,,,,
Designation,177,Fabric Coordinator,Fabric / Knitting / Dyeing,,,,,,,
Designation,178,Fabric Inspector,Fabric / Knitting / Dyeing,,,,,,,
Designation,179,Fabric Store Keeper,Fabric / Knitting / Dyeing,,,,,,,
Designation,180,Yarn Manager,Fabric / Knitting / Dyeing,,,,,,,
Designation,181,Yarn Officer,Fabric / Knitting / Dyeing,,,,,,,
Designation,182,Knitting Manager,Fabric / Knitting / Dyeing,,,,,,,
Designation,183,Knitting In-charge,Fabric / Knitting / Dyeing,,,,,,,
Designation,184,Knitting Supervisor,Fabric / Knitting / Dyeing,,,,,,,
Designation,185,Knitting Technician,Fabric / Knitting / Dyeing,,,,,,,
Designation,186,Knitting Operator,Fabric / Knitting / Dyeing,,,,,,,
Designation,187,Dyeing Manager,Fabric / Knitting / Dyeing,,,,,,,
Designation,188,Dyeing Supervisor,Fabric / Knitting / Dyeing,,,,,,,
Designation,189,Dyeing Technician,Fabric / Knitting / Dyeing,,,,,,,
Designation,190,Dyeing Operator,Fabric / Knitting / Dyeing,,,,,,,
Designation,191,Fabric Finishing Supervisor,Fabric / Knitting / Dyeing,,,,,,,
Designation,192,Fabric Finishing Operator,Fabric / Knitting / Dyeing,,,,,,,
Designation,193,Fabric Lab Technician,Fabric / Knitting / Dyeing,,,,,,,
Designation,194,Lab Assistant,Fabric / Knitting / Dyeing,,,,,,,
Designation,195,Cutting Manager,Cutting,,,,,,,
Designation,196,Cutting In-charge,Cutting,,,,,,,
Designation,197,Cutting Supervisor,Cutting,,,,,,,
Designation,198,Senior Cutting Supervisor,Cutting,,,,,,,
Designation,199,Cutting Technician,Cutting,,,,,,,
Designation,200,Cutting Officer,Cutting,,,,,,,
Designation,201,Cutting Executive,Cutting,,,,,,,
Designation,202,CAD Marker,Cutting,,,,,,,
Designation,203,Marker Man,Cutting,,,,,,,
Designation,204,Spreading Supervisor,Cutting,,,,,,,
Designation,205,Spreader,Cutting,,,,,,,
Designation,206,Lay Man,Cutting,,,,,,,
Designation,207,Senior Cutter Man,Cutting,,,,,,,
Designation,208,Cutter Man,Cutting,,,,,,,
Designation,209,Junior Cutter Man,Cutting,,,,,,,
Designation,210,Assistant Cutter,Cutting,,,,,,,
Designation,211,Cutting Helper,Cutting,,,,,,,
Designation,212,Numbering Man,Cutting,,,,,,,
Designation,213,Bundle Man,Cutting,,,,,,,
Designation,214,Junior Bundle Man,Cutting,,,,,,,
Designation,215,Cutting Quality Inspector,Cutting,,,,,,,
Designation,216,Production Director,Sewing / Production,,,,,,,
Designation,217,Production Manager,Sewing / Production,,,,,,,
Designation,218,Senior Production Manager,Sewing / Production,,,,,,,
Designation,219,Assistant Production Manager,Sewing / Production,,,,,,,
Designation,220,Sewing Manager,Sewing / Production,,,,,,,
Designation,221,Sewing In-charge,Sewing / Production,,,,,,,
Designation,222,Sewing Supervisor,Sewing / Production,,,,,,,
Designation,223,Senior Sewing Supervisor,Sewing / Production,,,,,,,
Designation,224,Assistant Supervisor,Sewing / Production,,,,,,,
Designation,225,Line Chief,Sewing / Production,,,,,,,
Designation,226,Line Supervisor,Sewing / Production,,,,,,,
Designation,227,Line Leader,Sewing / Production,,,,,,,
Designation,228,Production Coordinator,Sewing / Production,,,,,,,
Designation,229,Production Reporter,Sewing / Production,,,,,,,
Designation,230,Input Supervisor,Sewing / Production,,,,,,,
Designation,231,Input Man,Sewing / Production,,,,,,,
Designation,232,Output Supervisor,Sewing / Production,,,,,,,
Designation,233,Output Man,Sewing / Production,,,,,,,
Designation,234,Bundle Man,Sewing / Production,,,,,,,
Designation,235,Junior Bundle Man,Sewing / Production,,,,,,,
Designation,236,Sewing Technician,Sewing / Production,,,,,,,
Designation,237,Machine Technician,Sewing / Production,,,,,,,
Designation,238,Operator,Sewing / Production,,,,,,,
Designation,239,Senior Operator,Sewing / Production,,,,,,,
Designation,240,Junior Operator,Sewing / Production,,,,,,,
Designation,241,Trainee Operator,Sewing / Production,,,,,,,
Designation,242,Helper,Sewing / Production,,,,,,,
Designation,243,Sewing Helper,Sewing / Production,,,,,,,
Designation,244,Machine Operator,Sewing / Production,,,,,,,
Designation,245,Special Machine Operator,Sewing / Production,,,,,,,
Designation,246,Button Operator,Sewing / Production,,,,,,,
Designation,247,Button Supervisor,Sewing / Production,,,,,,,
Designation,248,Buttonhole Operator,Sewing / Production,,,,,,,
Designation,249,Bartack Operator,Sewing / Production,,,,,,,
Designation,250,Flatlock Operator,Sewing / Production,,,,,,,
Designation,251,Overlock Operator,Sewing / Production,,,,,,,
Designation,252,Coverstitch Operator,Sewing / Production,,,,,,,
Designation,253,Kansai Operator,Sewing / Production,,,,,,,
Designation,254,Heat Seal Man,Sewing / Production,,,,,,,
Designation,255,Heat Seal Supervisor,Sewing / Production,,,,,,,
Designation,256,Piping Man,Sewing / Production,,,,,,,
Designation,257,Piping M.O,Sewing / Production,,,,,,,
Designation,258,Iron Man,Sewing / Production,,,,,,,
Designation,259,Iron Supervisor,Sewing / Production,,,,,,,
Designation,260,Spot Man,Sewing / Production,,,,,,,
Designation,261,Sticker Man,Sewing / Production,,,,,,,
Designation,262,Tag Man,Sewing / Production,,,,,,,
Designation,263,Numbering Man,Sewing / Production,,,,,,,
Designation,264,Finishing Manager,Finishing & Packing,,,,,,,
Designation,265,Finishing In-charge,Finishing & Packing,,,,,,,
Designation,266,Finishing Supervisor,Finishing & Packing,,,,,,,
Designation,267,Senior Finishing Supervisor,Finishing & Packing,,,,,,,
Designation,268,Finishing Assistant,Finishing & Packing,,,,,,,
Designation,269,Iron Supervisor,Finishing & Packing,,,,,,,
Designation,270,Iron Man,Finishing & Packing,,,,,,,
Designation,271,Folding Supervisor,Finishing & Packing,,,,,,,
Designation,272,Folder,Finishing & Packing,,,,,,,
Designation,273,Spot Removal Operator,Finishing & Packing,,,,,,,
Designation,274,Metal Detector Operator,Finishing & Packing,,,,,,,
Designation,275,Packing Manager,Finishing & Packing,,,,,,,
Designation,276,Packing Supervisor,Finishing & Packing,,,,,,,
Designation,277,Packer,Finishing & Packing,,,,,,,
Designation,278,Senior Packer,Finishing & Packing,,,,,,,
Designation,279,Junior Packer,Finishing & Packing,,,,,,,
